App Name,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Released,Last Updated,Content Rating,Ad Supported,In App Purchases,Editors Choice,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
HTTrack Website Copier,Communication,3.6,2848,"100,000+",100000,351560,True,0.0,USD,2.7M,2.3 and up,Xavier Roche,12-Aug-13,20-May-17,Everyone,False,False,False,,,,,,,,,,
World War 2: Offline Strategy,Strategy,4.3,17297,"1,000,000+",1000000,2161778,True,0.0,USD,86M,5.1 and up,Skizze Games,19-Jul-18,26-Nov-20,Everyone 10+,True,True,False,,,,,,,,,,
WPSApp,Tools,4.2,488639,"50,000,000+",50000000,79304739,True,0.0,USD,5.8M,4.1 and up,TheMauSoft,7-Mar-16,21-Oct-20,Everyone,True,False,False,,,,,,,,,,
"OfficeSuite - Office, PDF, Word, Excel, PowerPoint",Business,4.2,1224420,"100,000,000+",100000000,163660067,True,0.0,USD,59M,4.4 and up,MobiSystems,22-Dec-11,23-Nov-20,Everyone,True,True,False,,,,,,,,,,
Loud Player Free,Music & Audio,4.2,665,"50,000+",50000,73463,True,0.0,USD,29M,5.0 and up,Arthelion92,24-Sep-16,22-Nov-20,Everyone,False,False,False,,,,,,,,,,
eCharge+,Maps & Navigation,3.5,377,"10,000+",10000,38029,True,0.0,USD,12M,6.0 and up,innogy eMobility Solutions,4-Feb-19,6-Nov-20,Everyone,False,False,False,,,,,,,,,,
Jobonji: hire local pros handyman for odd jobs gig,Lifestyle,4.4,3346,"100,000+",100000,224897,True,0.0,USD,9.4M,5.0 and up,"Jobonji, Inc",10-Jan-18,30-Sep-19,Everyone,False,True,False,,,,,,,,,,
Little Pandas Dream Town,Educational,4.0,44700,"10,000,000+",10000000,29969311,True,0.0,USD,90M,4.2 and up,BabyBus,16-Aug-18,29-Sep-20,Everyone,True,True,False,,,,,,,,,,
Baby Panda: Dental Care,Educational,4.1,10990,"10,000,000+",10000000,12520805,True,0.0,USD,87M,4.2 and up,BabyBus,27-Apr-20,29-Sep-20,Everyone,True,True,False,,,,,,,,,,
Excel Reader,Tools,3.3,1141,"100,000+",100000,193274,True,0.0,USD,3.3M,5.0 and up,SphereLix Apps,13-Jan-20,25-Jun-20,Everyone,True,False,False,,,,,,,,,,
AndroXLS editor for XLS sheets,Productivity,3.0,8831,"5,000,000+",5000000,6286237,True,0.0,USD,8.4M,4.1 and up,OffiDocs Mobile Apps,19-Dec-16,21-Oct-20,Everyone,True,False,False,,,,,,,,,,
Office HD: Presentations BASIC,Business,3.1,768,"100,000+",100000,180332,True,0.0,USD,21M,4.0 and up,SoftMaker Software GmbH,5-Oct-15,27-Jun-17,Everyone,False,True,False,,,,,,,,,,
???????????????????????????,News & Magazines,3.2,200,"50,000+",50000,94585,True,0.0,USD,16M,4.4 and up,"Excite Japan Co., Ltd.",20-May-12,24-Nov-20,Everyone,True,True,False,,,,,,,,,,
Google Slides,Productivity,4.2,448679,"500,000,000+",500000000,800199122,True,0.0,USD,Varies with device,6.0 and up,Google LLC,25-Jun-14,24-Nov-20,Everyone,False,False,False,,,,,,,,,,
"Grab - Transport, Food Delivery, Payments",Maps & Navigation,4.4,6088890,"100,000,000+",100000000,165573138,True,0.0,USD,153M,5.0 and up,Grab Holdings,30-May-13,23-Nov-20,Everyone,False,False,False,,,,,,,,,,
Gofood - Food delivery solution by UAE restaurants,Food & Drink,2.8,192,"50,000+",50000,50401,True,0.0,USD,26M,5.0 and up,Gofood Solutions,18-Jun-20,16-Oct-20,Everyone,False,False,False,,,,,,,,,,
"Truecaller: Caller ID, block fraud & scam calls",Communication,4.4,14074045,"500,000,000+",500000000,681961526,True,0.0,USD,87M,5.1 and up,Truecaller,31-May-12,23-Nov-20,Everyone,True,True,False,,,,,,,,,,
Snapseed,Photography,4.5,1281438,"100,000,000+",100000000,181354482,True,0.0,USD,Varies with device,Varies with device,Google LLC,6-Dec-12,14-Apr-20,Everyone,False,False,False,,,,,,,,,,
3D Digital Clock Live Wallpaper-7,Tools,4.3,574,"100,000+",100000,148146,True,0.0,USD,1.5M,4.0 and up,Style-7,16-Jan-19,2-Jan-20,Everyone,True,False,False,,,,,,,,,,
Internet speed test Meter- SpeedTest Master,Tools,4.9,329074,"10,000,000+",10000000,13161972,True,0.0,USD,8.1M,5.0 and up,Test speed internet & Net meter,16-Jan-19,16-Nov-20,Teen,True,True,False,,,,,,,,,,
Loud Player - Audio player,Music & Audio,4.1,64,500+,500,688,False,1.49,USD,26M,Varies with device,Arthelion92,24-Sep-16,22-Nov-20,Everyone,False,False,False,,,,,,,,,,
SoundSeeder -Play music simultaneously and in sync,Music & Audio,3.7,7056,"1,000,000+",1000000,1801574,True,0.0,USD,20M,4.1 and up,JekApps,8-Jun-13,6-Jul-20,Everyone,True,True,False,,,,,,,,,,
Fuel Music Player,Music & Audio,4.4,589,"100,000+",100000,227988,True,0.0,USD,12M,5.0 and up,JRT Studio Music Players,22-Jan-19,16-Nov-20,Everyone,True,True,False,,,,,,,,,,
TempWorks,Business,3.9,40,"10,000+",10000,20514,True,0.0,USD,46M,4.1 and up,TempWorks Software,26-Jan-18,19-Jun-20,Everyone,False,False,False,,,,,,,,,,
Qwick Professionals,Lifestyle,4.1,254,"10,000+",10000,19909,True,0.0,USD,52M,5.0 and up,"Qwick, Inc.",26-Apr-19,17-Sep-20,Everyone,False,False,False,,,,,,,,,,
LibreOffice & OpenOffice document reader | ODF,Productivity,3.9,31881,"5,000,000+",5000000,6709911,True,0.0,USD,Varies with device,Varies with device,Stefl und Taschauer OG,5-Oct-10,14-Nov-20,Everyone,True,True,False,,,,,,,,,,
"All PDF - PDF Reader, PDF Viewer & PDF Converter",Books & Reference,4.2,9281,"500,000+",500000,904096,True,0.0,USD,Varies with device,5.0 and up,Robert Londo,24-Feb-18,16-Oct-20,Everyone,True,True,False,,,,,,,,,,
Docs To Go Free Office Suite,Business,4.2,226610,"50,000,000+",50000000,70125112,True,0.0,USD,Varies with device,Varies with device,DataViz,,14-Nov-20,Everyone,True,True,False,,,,,,,,,,
"Zoho Sign - Upload, Scan and Sign Documents",Business,4.0,63,"10,000+",10000,26306,True,0.0,USD,31M,5.0 and up,Zoho Corporation,12-Jul-17,23-Nov-20,Everyone,False,True,False,,,,,,,,,,
Office Delve - for Office 365,Productivity,4.0,1510,"500,000+",500000,741523,True,0.0,USD,13M,5.0 and up,Microsoft Corporation,13-Apr-15,1-Sep-20,Everyone,False,False,False,,,,,,,,,,
Xodo PDF Reader & Editor,Productivity,4.7,319893,"10,000,000+",10000000,16603209,True,0.0,USD,Varies with device,4.1 and up,Xodo Technologies Inc.,20-Jan-14,9-Nov-20,Everyone,False,False,False,,,,,,,,,,
MEGA,Productivity,3.7,755515,"100,000,000+",100000000,104740945,True,0.0,USD,Varies with device,Varies with device,Mega Ltd,8-Feb-16,25-Nov-20,Everyone,False,True,False,,,,,,,,,,
"Adobe Scan: PDF Scanner with OCR, PDF Creator",Business,4.7,1128455,"50,000,000+",50000000,56777956,True,0.0,USD,Varies with device,Varies with device,Adobe,31-May-17,7-Nov-20,Everyone,False,True,False,,,,,,,,,,
PDF Reader for Android 2020,Tools,4.4,70313,"5,000,000+",5000000,9307179,True,0.0,USD,18M,4.4 and up,iVila Studio,23-Dec-19,24-Nov-20,Everyone,True,True,False,,,,,,,,,,
Cute,Shopping,4.5,267438,"10,000,000+",10000000,13614116,True,0.0,USD,27M,5.0 and up,Wish Inc.,11-May-15,28-Oct-20,Everyone,False,False,False,,,,,,,,,,
Wish - Shopping Made Fun,Shopping,4.4,10810840,"500,000,000+",500000000,524216973,True,0.0,USD,23M,5.0 and up,Wish Inc.,26-Jul-12,20-Nov-20,Teen,False,False,False,,,,,,,,,,
QR & Barcode Reader,Productivity,4.5,335907,"50,000,000+",50000000,76427891,True,0.0,USD,5.1M,6.0 and up,TeaCapps,17-Jun-16,22-Nov-20,Everyone,True,True,False,,,,,,,,,,
Memory Match-7,Board,4.0,7,"1,000+",1000,2530,True,0.0,USD,8.5M,2.3 and up,Style-7,21-Nov-16,21-Nov-16,Everyone,True,False,False,,,,,,,,,,
Image from Video Grabber-7,Tools,0.0,0,100+,100,222,True,0.0,USD,1.2M,4.0 and up,Style-7,12-Feb-20,12-Feb-20,Everyone,True,False,False,,,,,,,,,,
Google Text-to-Speech,Tools,4.3,2292232,"5,000,000,000+",5000000000,7769956479,True,0.0,USD,Varies with device,Varies with device,Google LLC,10-Oct-13,15-Oct-20,Everyone,False,False,False,,,,,,,,,,
Android TV Home,Tools,1.1,226,"10,000,000+",10000000,39240688,True,0.0,USD,5.6M,8.0 and up,Google LLC,8-Jan-18,19-Nov-20,Everyone,True,False,False,,,,,,,,,,
Qwick Business,Lifestyle,0.0,0,100+,100,168,True,0.0,USD,52M,5.0 and up,"Qwick, Inc.",19-Dec-19,17-Sep-20,Everyone,False,False,False,,,,,,,,,,
Streamline3 Admin,Business,4.7,31,"1,000+",1000,3629,True,0.0,USD,23M,6.0 and up,Universal Business Team,18-Dec-18,23-Nov-20,Everyone,False,False,False,,,,,,,,,,
"N Docs - Office, PDF, Text, Markup, Ebook Reader",Productivity,4.3,1265,"100,000+",100000,113425,True,0.0,USD,64M,7.0 and up,nTools,20-Jul-17,25-Nov-20,Everyone,False,True,False,,,,,,,,,,
Gaaiho PDF Reader,Productivity,4.0,854,"50,000+",50000,74393,True,0.0,USD,16M,3.2 and up,ZEON CORP,8-Dec-13,25-Aug-20,Everyone,False,False,False,,,,,,,,,,
"Zoho Projects: Tasks, Timesheets, and Bug Tracking",Productivity,3.8,1083,"100,000+",100000,272869,True,0.0,USD,15M,4.1 and up,Zoho Corporation,25-Mar-13,3-Nov-20,Everyone,False,True,False,,,,,,,,,,
Zoho One - The Business Suite,Business,3.4,87,"10,000+",10000,29044,True,0.0,USD,28M,4.2 and up,Zoho Corporation,27-Jul-18,20-Oct-20,Everyone,False,False,False,,,,,,,,,,
Visual Studio App Center,Business,3.9,518,"100,000+",100000,252579,True,0.0,USD,2.9M,4.4 and up,Microsoft Corporation,24-Apr-18,28-Oct-20,Everyone,False,False,False,,,,,,,,,,
MSN Sports - Scores & Schedule,Sports,4.3,46776,"1,000,000+",1000000,1008504,True,0.0,USD,17M,4.2 and up,Microsoft Corporation,11-Dec-14,4-Apr-19,Everyone,True,False,False,,,,,,,,,,
Photo to PDF  One-click Converter,Tools,4.4,9130,"1,000,000+",1000000,3951977,True,0.0,USD,3.2M,5.0 and up,Free Simple Apps,9-Dec-18,12-Nov-20,Everyone,False,True,False,,,,,,,,,,
Adobe Analytics dashboards,Business,3.8,24,"5,000+",5000,6947,True,0.0,USD,29M,5.0 and up,Adobe,19-May-20,8-Oct-20,Everyone,False,False,False,,,,,,,,,,
Adobe Summit EMEA 2019,Business,3.9,52,"10,000+",10000,16444,True,0.0,USD,29M,4.4 and up,Adobe,28-Apr-17,8-May-19,Everyone,False,False,False,,,,,,,,,,
"Rainbow - Clothing for Women, Plus Size & Kids",Shopping,3.9,2305,"500,000+",500000,852313,True,0.0,USD,4.2M,4.1 and up,rainbowshops.com,7-Jul-16,4-May-20,Everyone,False,False,False,,,,,,,,,,
QRbot: QR & barcode reader,Tools,4.5,16769,"1,000,000+",1000000,3217582,True,0.0,USD,5.1M,6.0 and up,TeaCapps,15-Nov-15,22-Nov-20,Everyone,True,True,False,,,,,,,,,,
QR & Barcode Scanner,Productivity,4.1,16258,"1,000,000+",1000000,4890733,True,0.0,USD,23M,5.0 and up,Macland Group,22-Oct-19,6-Oct-20,Everyone,True,True,False,,,,,,,,,,
FireBoard®,Tools,4.1,154,"10,000+",10000,17449,True,0.0,USD,7.0M,5.0 and up,FireBoard Labs,18-May-16,25-Nov-20,Everyone,False,False,False,,,,,,,,,,
TaskEasy Contractors (New),Productivity,2.6,13,"1,000+",1000,2136,True,0.0,USD,7.0M,5.0 and up,"TaskEasy, Inc.",26-May-20,21-Oct-20,Everyone,False,False,False,,,,,,,,,,
s3afw BETA TEST,Business,0.0,0,100+,100,183,True,0.0,USD,22M,6.0 and up,Universal Business Team,10-May-16,5-Nov-20,Everyone,False,False,False,,,,,,,,,,
Work&Track Mobile - Field Service Management,Tools,4.1,28,"1,000+",1000,2339,True,0.0,USD,73M,4.4 and up,NEO Soluciones,1-Feb-18,31-Oct-20,Everyone,False,False,False,,,,,,,,,,
QR BarCode,Productivity,4.6,101,"5,000+",5000,7617,True,0.0,USD,8.3M,5.0 and up,nTools,8-Dec-16,22-Oct-20,Everyone,False,False,False,,,,,,,,,,
Password Safe,Productivity,4.4,806,"10,000+",10000,20348,False,2.99,USD,1.4M,1.5 and up,Rhythm Software,,23-Jul-16,Everyone,False,False,False,,,,,,,,,,
Memento Database,Productivity,4.5,23010,"1,000,000+",1000000,1040886,True,0.0,USD,27M,4.1 and up,MementoDB Inc.,,23-Nov-20,Everyone,True,True,False,,,,,,,,,,
Brief: Team Collaboration Tool,Productivity,3.7,237,"50,000+",50000,55690,True,0.0,USD,5.3M,5.0 and up,Brief Communications Inc.,11-Sep-17,29-Oct-19,Everyone,False,False,False,,,,,,,,,,
BizConnect- Business Card Reader & QR Code Scanner,Productivity,4.7,2613,"100,000+",100000,135305,True,0.0,USD,36M,5.0 and up,ATMAS SOFTWARES PRIVATE LIMITED,19-Mar-16,30-Oct-20,Everyone,False,True,False,,,,,,,,,,
"PDF Reader - Just 2 MB, Viewer, Light Weight 2020",Tools,4.1,6951,"1,000,000+",1000000,1199852,True,0.0,USD,2.3M,4.4 and up,Skydot Apps,25-Jun-19,7-Nov-20,Everyone,True,False,False,,,,,,,,,,
PDF Utility,Tools,4.3,859,"10,000+",10000,15520,False,2.99,USD,14M,4.0 and up,Sharda Gohil,12-Jul-10,21-Aug-18,Everyone,False,False,False,,,,,,,,,,
Smallpdf,Tools,4.6,23768,"1,000,000+",1000000,1291532,True,0.0,USD,115M,6.0 and up,Smallpdf,6-Jan-20,16-Nov-20,Everyone,False,False,False,,,,,,,,,,
